month,predicted_sales,product_category_name_english
2018-09-30,58503.68636363637,furniture_decor
2018-10-31,60706.5267193676,furniture_decor
2018-11-30,62909.367075098824,furniture_decor
2018-12-31,65112.20743083005,furniture_decor
2019-01-31,67315.04778656128,furniture_decor
2019-02-28,69517.8881422925,furniture_decor
2018-09-30,119752.23272727273,health_beauty
2018-10-31,125190.44529644269,health_beauty
2018-11-30,130628.65786561265,health_beauty
2018-12-31,136066.87043478258,health_beauty
2019-01-31,141505.08300395255,health_beauty
2019-02-28,146943.2955731225,health_beauty
2018-09-30,29883.903896103897,telephony
2018-10-31,31203.18593450029,telephony
2018-11-30,32522.467972896673,telephony
2018-12-31,33841.75001129306,telephony
2019-01-31,35161.03204968944,telephony
2019-02-28,36480.314088085834,telephony
2018-09-30,3267.8754761904765,air_conditioning
2018-10-31,3326.751774891775,air_conditioning
2018-11-30,3385.6280735930736,air_conditioning
2018-12-31,3444.5043722943724,air_conditioning
2019-01-31,3503.3806709956707,air_conditioning
2019-02-28,3562.2569696969695,air_conditioning
2018-09-30,4677.114842105264,audio
2018-10-31,4881.180541353384,audio
2018-11-30,5085.246240601505,audio
2018-12-31,5289.311939849625,audio
2019-01-31,5493.377639097745,audio
2019-02-28,5697.443338345865,audio
2018-09-30,52885.22471428571,auto
2018-10-31,55127.08449350649,auto
2018-11-30,57368.94427272727,auto
2018-12-31,59610.80405194805,auto
2019-01-31,61852.66383116882,auto
2019-02-28,64094.5236103896,auto
2018-09-30,38569.319619047616,baby
2018-10-31,40293.08941125541,baby
2018-11-30,42016.8592034632,baby
2018-12-31,43740.628995670995,baby
2019-01-31,45464.39878787879,baby
2019-02-28,47188.16858008658,baby
2018-09-30,84530.38661904761,bed_bath_table
2018-10-31,87725.83873593072,bed_bath_table
2018-11-30,90921.29085281384,bed_bath_table
2018-12-31,94116.74296969696,bed_bath_table
2019-01-31,97312.19508658008,bed_bath_table
2019-02-28,100507.64720346319,bed_bath_table
2018-09-30,4051.4271428571424,books_general_interest
2018-10-31,4216.8950649350645,books_general_interest
2018-11-30,4382.362987012986,books_general_interest
2018-12-31,4547.830909090909,books_general_interest
2019-01-31,4713.2988311688305,books_general_interest
2019-02-28,4878.766753246753,books_general_interest
2018-09-30,2075.570947368421,books_technical
2018-10-31,2182.3107518796996,books_technical
2018-11-30,2289.0505563909774,books_technical
2018-12-31,2395.790360902256,books_technical
2019-01-31,2502.5301654135346,books_technical
2019-02-28,2609.2699699248124,books_technical
2018-09-30,72087.11276190476,computers_accessories
2018-10-31,74692.63245021645,computers_accessories
2018-11-30,77298.15213852814,computers_accessories
2018-12-31,79903.67182683983,computers_accessories
2019-01-31,82509.19151515151,computers_accessories
2019-02-28,85114.7112034632,computers_accessories
2018-09-30,9260.016238095239,consoles_games
2018-10-31,9420.168277056277,consoles_games
2018-11-30,9580.320316017316,consoles_games
2018-12-31,9740.472354978356,consoles_games
2019-01-31,9900.624393939393,consoles_games
2019-02-28,10060.776432900433,consoles_games
2018-09-30,38278.36195238095,cool_stuff
2018-10-31,39008.03619913419,cool_stuff
2018-11-30,39737.71044588744,cool_stuff
2018-12-31,40467.384692640684,cool_stuff
2019-01-31,41197.05893939393,cool_stuff
2019-02-28,41926.733186147176,cool_stuff
2018-09-30,236.97600000000006,diapers_and_hygiene
2018-10-31,251.56090909090915,diapers_and_hygiene
2018-11-30,266.14581818181824,diapers_and_hygiene
2018-12-31,280.73072727272734,diapers_and_hygiene
2019-01-31,295.31563636363643,diapers_and_hygiene
2019-02-28,309.9005454545455,diapers_and_hygiene
2018-09-30,14890.405571428571,electronics
2018-10-31,15550.369974025973,electronics
2018-11-30,16210.334376623377,electronics
2018-12-31,16870.29877922078,electronics
2019-01-31,17530.26318181818,electronics
2019-02-28,18190.227584415585,electronics
2018-09-30,152.9325,fashio_female_clothing
2018-10-31,150.30955882352941,fashio_female_clothing
2018-11-30,147.68661764705882,fashio_female_clothing
2018-12-31,145.06367647058823,fashio_female_clothing
2019-01-31,142.44073529411764,fashio_female_clothing
2019-02-28,139.81779411764708,fashio_female_clothing
2018-09-30,11628.017142857145,fashion_bags_accessories
2018-10-31,12035.103455674762,fashion_bags_accessories
2018-11-30,12442.189768492379,fashion_bags_accessories
2018-12-31,12849.276081309996,fashion_bags_accessories
2019-01-31,13256.362394127613,fashion_bags_accessories
2019-02-28,13663.44870694523,fashion_bags_accessories
